CHSA Number,CHSA Name,2021 Census households,sampled households,% of households sampled[1],% population indigenous,% population racialized
1110,Fernie,7265,3393,0.47,0.077,0.049
1120,Cranbrook,11420,3806,0.33,0.101,0.055
1130,Kimberley,4350,2269,0.52,0.065,0.029
1140,Windermere,5225,2101,0.4,0.079,0.054
1150,Creston,5865,3611,0.62,0.089,0.032
1160,Golden,3225,1500,0.47,0.077,0.064
1210,Kootenay Lake,1765,559,0.32,0.054,0.015
1220,Nelson,12020,5129,0.43,0.059,0.058
1230,Castlegar,6135,3659,0.6,0.065,0.052
1240,Arrow Lakes,2290,1044,0.46,0.066,0.031
1250,Trail,8985,4239,0.47,0.071,0.044
1260,Grand Forks,4095,2234,0.55,0.056,0.039
1270,Kettle Valley,2115,892,0.42,0.056,0.036
1310,Southern Okanagan,9725,4731,0.49,0.061,0.125
1320,Penticton,20860,6953,0.33,0.078,0.08
1330,Keremeos,2655,1676,0.63,0.139,0.083
1340,Princeton,2445,1244,0.51,0.112,0.05
1350,Armstrong/Spallumcheen,4255,2730,0.64,0.065,0.024
1361,Vernon Centre/Coldstream,24795,8265,0.33,0.067,0.073
1362,North Okanagan/Lumby,6390,3379,0.53,0.116,0.035
1371,Central Okanagan Rural,4780,2413,0.5,0.063,0.037
1372,West Kelowna,18995,7646,0.4,0.076,0.066
1373,Lake Country,6205,3196,0.52,0.062,0.064
1374,Glenmore,16745,6436,0.38,0.06,0.122
1375,Downtown Kelowna,23105,9043,0.39,0.054,0.119
1376,Rutland,14690,6729,0.46,0.074,0.195
1377,Okanagan Mission,9820,4091,0.42,0.033,0.107
1380,Summerland,5295,2932,0.55,0.052,0.059
1390,Enderby,3385,2047,0.6,0.115,0.022
1410,Revelstoke,3580,1559,0.44,0.049,0.065
1420,Salmon Arm,15965,6969,0.44,0.084,0.04
1431,Kamloops Centre North,19390,6463,0.33,0.143,0.084
1432,Kamloops Centre South,22230,8999,0.4,0.083,0.125
1433,Lower Thompson,10320,4619,0.45,0.126,0.031
1440,100 Mile House,6955,3458,0.5,0.106,0.027
1450,North Thompson,1875,1149,0.61,0.124,0.037
1461,West Cariboo,1035,619,0.6,0.515,0.024
1462,Williams Lake/East Cariboo,9615,3205,0.33,0.224,0.055
1470,Lillooet,1960,789,0.4,0.407,0.031
1480,South Cariboo,2840,1417,0.5,0.343,0.03
1490,Merritt,4560,2886,0.63,0.307,0.063
2110,Hope,3780,2894,0.77,0.175,0.071
2121,South Chilliwack,22580,8748,0.39,0.072,0.107
2122,North Chilliwack,18310,6103,0.33,0.112,0.113
2131,Central Abbotsford,10970,5261,0.48,0.075,0.246
2132,East Abbotsford,12980,4917,0.38,0.058,0.203
2133,West Abbotsford,21145,19177,0.91,0.031,0.595
2134,Abbotsford Rural,8260,7764,0.94,0.043,0.384
2141,South Mission,9925,3889,0.39,0.09,0.171
2142,North Mission,6075,3561,0.59,0.094,0.175
2150,Agassiz/Harrison,4140,2399,0.58,0.207,0.065
2210,New Westminster,36100,34097,0.94,0.031,0.468
2221,Burnaby Northwest,23505,21788,0.93,0.018,0.613
2222,Burnaby Northeast,18855,18070,0.96,0.024,0.556
2223,Burnaby Southwest,35655,33720,0.95,0.013,0.745
2224,Burnaby Southeast,23120,21635,0.94,0.015,0.736
2231,Haney,13730,6188,0.45,0.045,0.214
2232,Pitt Meadows,7470,3538,0.47,0.051,0.238
2233,Maple Ridge Rural,19390,7327,0.38,0.048,0.217
2241,North Coquitlam,15450,14343,0.93,0.015,0.63
2242,Southwest Coquitlam,29480,28673,0.97,0.02,0.552
2243,Southeast Coquitlam,11090,10099,0.91,0.028,0.493
2244,Port Coquitlam,22885,21976,0.96,0.03,0.397
2245,Port Moody/Anmore/Belcarra,14115,14240,1.01,0.032,0.319
2311,City of Langley,12595,5698,0.45,0.057,0.247
2312,Walnut Grove/Fort Langley,10720,4165,0.39,0.04,0.207
2313,Willoughby,15040,16150,1.07,0.03,0.456
2314,Brookswood/Murrayville,8555,3912,0.46,0.046,0.131
2315,Aldergrove/Otter,4970,2871,0.58,0.054,0.199
2316,North Langley Township,4650,2158,0.46,0.039,0.15
2317,South Langley Township,3325,1462,0.44,0.048,0.173
2321,North Delta,19020,16909,0.89,0.026,0.629
2322,Ladner,9815,4111,0.42,0.037,0.271
2323,Tsawwassen,10155,4009,0.39,0.041,0.191
2331,Whalley,15705,12978,0.83,0.021,0.805
2332,North Surrey,23015,22028,0.96,0.031,0.736
2333,Cloverdale,26405,23869,0.9,0.034,0.444
2334,Panorama,15210,12870,0.85,0.013,0.779
2335,East Newton,19470,15319,0.79,0.018,0.826
2336,Fleetwood,18115,15564,0.86,0.016,0.756
2337,Guildford,21805,20471,0.94,0.023,0.692
2338,West Newton,12100,9139,0.76,0.017,0.879
2341,South Surrey,33920,34124,1.01,0.019,0.381
2342,White Rock,10735,4138,0.39,0.031,0.237
3111,Richmond City Centre,29100,28407,0.98,0.005,0.878
3112,Blundell,6110,5901,0.97,0.009,0.835
3113,Broadmoor,8010,7762,0.97,0.007,0.817
3114,Thompson/Seafair,11465,11055,0.96,0.01,0.761
3115,Steveston,9430,9474,1,0.01,0.572
3116,East and West Cambie/Bridgeport,9425,9064,0.96,0.006,0.906
3117,Gilmore/Shellmont/East/Hamilton,7545,6928,0.92,0.009,0.745
3211,Downtown Vancouver,27415,26790,0.98,0.014,0.516
3212,West End,30655,30046,0.98,0.028,0.333
3213,Fairview,19325,5412,0.28,0.02,0.295
3221,Downtown Eastside,10830,13353,1.23,0.093,0.397
3222,Northeast False Creek,7405,7487,1.01,0.018,0.505
3223,Grandview-Woodland,14935,5259,0.35,0.077,0.296
3231,Cedar Cottage,7260,6190,0.85,0.023,0.534
3232,Hastings-Sunrise,13770,11000,0.8,0.028,0.602
3233,Renfrew-Collingwood,20380,17064,0.84,0.016,0.799
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,15680,15200,0.97,0.008,0.605
3242,West Point Grey/Dunbar-Southlands,13450,12397,0.92,0.034,0.436
3243,University of British Columbia,7545,9091,1.2,0.01,0.678
3244,Kitsilano,23220,6502,0.28,0.016,0.238
3251,Kensington,12230,9669,0.79,0.017,0.688
3252,Mount Pleasant,20795,20247,0.97,0.032,0.355
3253,South Cambie/Riley Park,14205,12888,0.91,0.021,0.483
3261,Killarney,12905,12186,0.94,0.017,0.706
3262,Oakridge/Marpole,18060,17185,0.95,0.012,0.741
3263,Sunset,12590,9651,0.77,0.015,0.834
3264,Victoria-Fraserview,10780,8801,0.82,0.012,0.857
3311,North Vancouver City - East,8080,2965,0.37,0.024,0.299
3312,North Vancouver City - West,19375,18762,0.97,0.031,0.391
3313,North Vancouver DM - Central,11120,3902,0.35,0.017,0.276
3314,North Vancouver DM - East,11395,4084,0.36,0.038,0.227
3315,North Vancouver DM - West,11360,10736,0.95,0.011,0.359
3321,West Vancouver - Lower,9300,9157,0.98,0.064,0.386
3322,West Vancouver - Upper,9720,9411,0.97,0.008,0.457
3323,Bowen Island/Lions Bay,2270,771,0.34,0.024,0.078
3331,Gibsons,3890,1984,0.51,0.059,0.095
3332,Sechelt,5440,2589,0.48,0.088,0.114
3333,Sunshine Coast Rural,5605,2279,0.41,0.066,0.066
3341,Powell River City,6405,3396,0.53,0.061,0.061
3342,qathet Rural,3360,1675,0.5,0.138,0.03
3351,Squamish,9310,2873,0.31,0.054,0.15
3352,Whistler,5600,1579,0.28,0.011,0.128
3353,Howe Sound Rural,3145,1243,0.4,0.23,0.054
3360,Bella Coola Valley,1170,567,0.48,0.573,0.015
3370,Central Coast,580,317,0.55,0.855,0.01
4111,Downtown Victoria/Vic West,19420,6958,0.36,0.061,0.206
4112,James Bay/Fairfield,18290,6097,0.33,0.041,0.111
4113,Oaklands/Fernwood,11515,4495,0.39,0.044,0.196
4114,Oak Bay,7810,2815,0.36,0.02,0.128
4115,Gordon Head/Shelbourne,15705,8002,0.51,0.028,0.3
4116,Quadra/Swan Lake,11225,4299,0.38,0.042,0.245
4117,Interurban/Tillicum,11815,4695,0.4,0.044,0.226
4118,View Royal,5080,2293,0.45,0.059,0.171
4119,Esquimalt,9540,4361,0.46,0.079,0.132
4121,Colwood,7430,3671,0.49,0.049,0.106
4122,Metchosin,1935,884,0.46,0.073,0.04
4123,Langford/Highlands,19975,7416,0.37,0.057,0.16
4124,Sooke,6985,3879,0.56,0.075,0.048
4125,Juan de Fuca Coast,1480,785,0.53,0.106,0.042
4131,Royal Oak/Cordova Bay/Prospect,9300,3660,0.39,0.026,0.196
4132,Central Saanich,8285,3757,0.45,0.094,0.076
4133,North Saanich,5135,1994,0.39,0.055,0.063
4134,Sidney,5980,2788,0.47,0.034,0.089
4141,Salt Spring Island,5120,2500,0.49,0.037,0.059
4142,Pender/Galiano/Saturna/Mayne,3180,1099,0.35,0.038,0.037
4211,South Cowichan,7460,3607,0.48,0.063,0.04
4212,Central Cowichan,17870,7723,0.43,0.152,0.074
4220,Cowichan Valley West,3020,1335,0.44,0.118,0.031
4231,Ladysmith,3930,1898,0.48,0.071,0.054
4232,Ladysmith Rural,1510,858,0.57,0.279,0.018
4233,Chemainus,3125,1551,0.5,0.059,0.041
4234,Penelakut and Thetis Islands,370,185,0.5,0.598,0.017
4241,Downtown Nanaimo,10590,5349,0.51,0.102,0.132
4242,Departure Bay,11820,5521,0.47,0.08,0.123
4243,Nanaimo North/Lantzville,13825,5612,0.41,0.056,0.156
4244,Nanaimo South,6755,4109,0.61,0.154,0.114
4245,Nanaimo West/Rural,3230,1779,0.55,0.074,0.077
4246,Cedar/Wellington,3125,1773,0.57,0.078,0.035
4247,Gabriola Island,2375,1079,0.45,0.036,0.014
4251,Parksville,7140,3629,0.51,0.04,0.057
4252,Qualicum Beach,4435,1988,0.45,0.032,0.033
4253,Oceanside Rural,12270,4927,0.4,0.052,0.034
4261,Port Alberni,9990,3330,0.33,0.181,0.054
4262,Alberni Valley/Bamfield,2120,1187,0.56,0.12,0.016
4263,West Coast,2505,1128,0.45,0.302,0.053
4311,Comox,9770,4183,0.43,0.074,0.043
4312,Comox Valley Rural,9300,4049,0.44,0.07,0.036
4313,Courtenay,12865,5958,0.46,0.075,0.084
4321,Campbell River,15690,5230,0.33,0.132,0.057
4322,Campbell River Rural,4475,1886,0.42,0.083,0.027
4330,Vancouver Island West,975,410,0.42,0.276,0.025
4341,Port Hardy/Port Alice,2855,1697,0.59,0.299,0.053
4342,Port McNeill/Sointula,1370,682,0.5,0.134,0.051
4343,Vancouver Island North Remote,745,419,0.56,0.628,0.01
5101,Haida Gwaii South,1075,547,0.51,0.387,0.052
5102,Haida Gwaii North,925,527,0.57,0.503,0.034
5110,Snow Country,375,110,0.29,0.096,0
5121,Prince Rupert City Centre,5075,3193,0.63,0.373,0.153
5122,Prince Rupert Rural,440,325,0.74,0.734,0
5130,Upper Skeena,1495,1079,0.72,0.712,0.024
